Commit found #;Commithash ;Tactic;Probability;Type decision;Epitome;Jira Issue;Issue created at;Link;1st reviewer;2nd reviewer;2nd reviewer agree?;2nd reviewer disagree explanation
4104;940389afce6a1b9b9e1519aed528cbc444786756;Pooling;0.02442870370370373;Existence;Adding protocol support;https://issues.apache.org/jira/browse/HADOOP-6419;08/12/2009 19:35;https://github.com/apache/hadoop/commit/940389afce6a1b9b9e1519aed528cbc444786756;all;;;
3895;ff11be542636a6347a9f8bf3e5b096c748c4c1bf;Session;0.024293830409356704;Existence;Refactor of subsystem;https://issues.apache.org/jira/browse/MAPREDUCE-231;19/11/2008 18:48;https://github.com/apache/hadoop/commit/ff11be542636a6347a9f8bf3e5b096c748c4c1bf;all;;;
5345;1ad8415b72cb2b2dbfa85d27771177873c2a5c4c;Scheduler;0.023355156756756645;;;https://issues.apache.org/jira/browse/MAPREDUCE-2736;27/07/2011 17:09;https://github.com/apache/hadoop/commit/1ad8415b72cb2b2dbfa85d27771177873c2a5c4c;all;;;
526;20235decbb42a265b50c1bae5c273864afb88a48;ActiveRedundancy;0.022034206349206352;;;https://issues.apache.org/jira/browse/HADOOP-670;01/11/2006 22:24;https://github.com/apache/hadoop/commit/20235decbb42a265b50c1bae5c273864afb88a48;all;;;
3989;ea50f154077e724cc1b2fe15565ede2f2dc2e6f4;Pooling;0.02157037878787879;Existence;Adding protocol support;https://issues.apache.org/jira/browse/HADOOP-6170;28/07/2009 22:00;https://github.com/apache/hadoop/commit/ea50f154077e724cc1b2fe15565ede2f2dc2e6f4;all;;;
9992;034039b917f424a59167e068b9e1d5fbe3212751;Pooling;0.021433795591524807;;;https://issues.apache.org/jira/browse/MAPREDUCE-5585;15/10/2013 19:23;https://github.com/apache/hadoop/commit/034039b917f424a59167e068b9e1d5fbe3212751;all;;;
9996;f28f5ed62861a4c87256eddb8a8ab64e05696192;Pooling;0.021433795591524807;;;https://issues.apache.org/jira/browse/HDFS-5370;16/10/2013 18:03;https://github.com/apache/hadoop/commit/f28f5ed62861a4c87256eddb8a8ab64e05696192;all;;;
10003;b838776163e01ac397949b9ffbd8cb2eb9daba53;Pooling;0.02125310252247753;;;https://issues.apache.org/jira/browse/HADOOP-9078;21/11/2012 16:23;https://github.com/apache/hadoop/commit/b838776163e01ac397949b9ffbd8cb2eb9daba53;all;;;
9980;86b5f80e8c2c3ab004c458a13ad0d1b3b61ce057;Pooling;0.021142521282968202;;;https://issues.apache.org/jira/browse/HADOOP-10040;11/10/2013 00:25;https://github.com/apache/hadoop/commit/86b5f80e8c2c3ab004c458a13ad0d1b3b61ce057;all;;;
9982;258c181ade54c36e99d865d727107fc01f203414;Pooling;0.021142521282968202;;;https://issues.apache.org/jira/browse/HDFS-5352;"	12/Oct/13 00:01";https://github.com/apache/hadoop/commit/258c181ade54c36e99d865d727107fc01f203414;all;;;
9958;156b9f2e88fdd3ab840127400637a653d08cb0d8;Pooling;0.020504673513772276;;;https://issues.apache.org/jira/browse/YARN-1300;11/10/2013 14:52;https://github.com/apache/hadoop/commit/156b9f2e88fdd3ab840127400637a653d08cb0d8;all;;;
9963;bbac0cf05e50257c70855857f656dac0f4897866;Pooling;0.020341554542711165;;;https://issues.apache.org/jira/browse/HADOOP-10040;11/10/2013 00:25;https://github.com/apache/hadoop/commit/bbac0cf05e50257c70855857f656dac0f4897866;all;;;
10062;1fcc24d56aa76a23eed3069caf5ceb263aaffb6d;Pooling;0.020308517120437325;Existence;Enabling support storage type;https://issues.apache.org/jira/browse/HDFS-2832;24/01/2012 18:06;https://github.com/apache/hadoop/commit/1fcc24d56aa76a23eed3069caf5ceb263aaffb6d;all;;;
10085;16359ec2c702260256590359636d2ac018e76ce8;Pooling;0.0203076716661513;Existence;Enabling support storage type;https://issues.apache.org/jira/browse/HDFS-2832;24/01/2012 18:06;https://github.com/apache/hadoop/commit/16359ec2c702260256590359636d2ac018e76ce8;all;;;
25980;daa1e147454c3f14704aca904aaae168b47f3de0;Audit;0.02013616115523005;;;n/a;;https://github.com/apache/hadoop/commit/daa1e147454c3f14704aca904aaae168b47f3de0;all;;;
10068;ec01db59ce12746281938d8b0f331db72cd4c10a;Pooling;0.020019135358458978;;;https://issues.apache.org/jira/browse/HDFS-5417;25/10/2013 00:28;https://github.com/apache/hadoop/commit/ec01db59ce12746281938d8b0f331db72cd4c10a;all;;;
4842;dbecbe5dfe50f834fc3b8401709079e9470cc517;Pooling;0.019987638292191356;Existence;Major re-haul;https://issues.apache.org/jira/browse/MAPREDUCE-279;02/01/2008 19:37;https://github.com/apache/hadoop/commit/dbecbe5dfe50f834fc3b8401709079e9470cc517;all;;;
9944;b8ae4e2a8e79b339302bf78fe8e061e5ebad9195;Pooling;0.019936880533855894;;;https://issues.apache.org/jira/browse/HDFS-5323;08/10/2013 16:07;https://github.com/apache/hadoop/commit/b8ae4e2a8e79b339302bf78fe8e061e5ebad9195;all;;;
9932;5c02d2f6225144772dcb975d3144b057b71d6476;Pooling;0.019864775770767645;Property;Sync to Async;https://issues.apache.org/jira/browse/HDFS-5281;30/09/2013 21:48;https://github.com/apache/hadoop/commit/5c02d2f6225144772dcb975d3144b057b71d6476;all;;;
4384;ca71e829b83e854c1b2fbcaf9e5b82e189d70bb9;Kerbrose;0.019707117527862222;Existence;Adding API call;https://issues.apache.org/jira/browse/HADOOP-7023;08/11/2010 18:48;https://github.com/apache/hadoop/commit/ca71e829b83e854c1b2fbcaf9e5b82e189d70bb9;all;;;
9924;3de419a478381cf8132bce63d373fc89c58d097a;Pooling;0.019571390024572644;;;https://issues.apache.org/jira/browse/YARN-465;11/03/2013 12:27;https://github.com/apache/hadoop/commit/3de419a478381cf8132bce63d373fc89c58d097a;all;;;
10064;6772d07fdc0ad7d0cd1be851bf83ae0208abd391;Pooling;0.01950062753036419;;;https://issues.apache.org/jira/browse/YARN-1335;21/10/2013 23:16;https://github.com/apache/hadoop/commit/6772d07fdc0ad7d0cd1be851bf83ae0208abd391;all;;;
10034;fc99f3e8a3950704acd1a067ba20f96053e44e82;Pooling;0.019189070583827877;Property ;Upgrade ;https://issues.apache.org/jira/browse/HDFS-5382;17/10/2013 18:08;https://github.com/apache/hadoop/commit/fc99f3e8a3950704acd1a067ba20f96053e44e82;all;;;
10060;b3195f1283c4524c32e67640e965b70e96530fcc;Pooling;0.019189070583827877;;;https://issues.apache.org/jira/browse/HADOOP-10064;22/10/2013 22:39;https://github.com/apache/hadoop/commit/b3195f1283c4524c32e67640e965b70e96530fcc;all;;;
9901;f104665f7ed8749e563b7512e5846f910676a324;Pooling;0.019153419773095648;;;https://issues.apache.org/jira/browse/YARN-1251;30/09/2013 02:12;https://github.com/apache/hadoop/commit/f104665f7ed8749e563b7512e5846f910676a324;all;;;
9914;44f7ee7192d150b43a3012f06cec67be5b64edd0;Pooling;0.019153419773095648;;;https://issues.apache.org/jira/browse/YARN-1278;05/10/2013 23:03;https://github.com/apache/hadoop/commit/44f7ee7192d150b43a3012f06cec67be5b64edd0;all;;;
3173;449ee17148c46f0578d8928d61a5ee63d5209db2;Scheduler;0.01903531822031146;;;https://issues.apache.org/jira/browse/HADOOP-4709;21/11/2008 22:15;https://github.com/apache/hadoop/commit/449ee17148c46f0578d8928d61a5ee63d5209db2;all;;;
3876;abe7be913432053f6d419ea4ca4f9cd2be938bc7;Pooling;0.018932313725490146;Existence;Refactor of subsystem;https://issues.apache.org/jira/browse/MAPREDUCE-231;19/11/2008 18:48;https://github.com/apache/hadoop/commit/abe7be913432053f6d419ea4ca4f9cd2be938bc7;all;;;
9896;cbab04727bf24ec77f34677d0060cfa54263faf5;Pooling;0.018583783309478213;Property;Alow support;https://issues.apache.org/jira/browse/YARN-1232;24/09/2013 17:16;https://github.com/apache/hadoop/commit/cbab04727bf24ec77f34677d0060cfa54263faf5;all;;;
573;ebc3b2f1159863426fc6d54bf43e801c9a7efedc;Pooling;0.018423632183908106;;;https://issues.apache.org/jira/browse/HADOOP-736;20/11/2006 07:24;https://github.com/apache/hadoop/commit/ebc3b2f1159863426fc6d54bf43e801c9a7efedc;all;;;
10024;e86f4a2e25c755311a42c0b34481f816912f9a43;Pooling;0.017791810768101296;;;https://issues.apache.org/jira/browse/HDFS-5276;29/09/2013 03:11;https://github.com/apache/hadoop/commit/e86f4a2e25c755311a42c0b34481f816912f9a43;all;;;
10010;c4e57ee4c3a0415363df27b1d1ff0027e87b8cf7;Pooling;0.01778255538163384;;;https://issues.apache.org/jira/browse/HDFS-5375;16/10/2013 21:44;https://github.com/apache/hadoop/commit/c4e57ee4c3a0415363df27b1d1ff0027e87b8cf7;all;;;
10016;631ccbdd2031a8387d4c2b743a4fc64c990391ce;Pooling;0.01778255538163384;;;https://issues.apache.org/jira/browse/HDFS-5374;16/10/2013 21:27;https://github.com/apache/hadoop/commit/631ccbdd2031a8387d4c2b743a4fc64c990391ce;all;;;
10021;7d637a3a9932bfe06c59107dc0914d9383b0f93c;Pooling;0.01778255538163384;Property;Adding support text stream;https://issues.apache.org/jira/browse/MAPREDUCE-5457;14/08/2013 00:21;https://github.com/apache/hadoop/commit/7d637a3a9932bfe06c59107dc0914d9383b0f93c;all;;;
3532;6cf7652a346be918f3c088f1263f9b37bcf9546b;PingEcho;0.017475643044619432;Existence;Add interface monitor;https://issues.apache.org/jira/browse/HDFS-326;24/06/2008 10:35;https://github.com/apache/hadoop/commit/6cf7652a346be918f3c088f1263f9b37bcf9546b;all;;;
629;0bb2d52689729724d6d4e16c345d8711c55eb7c7;ActiveRedundancy;0.017055066287878784;Existence;Increase scalability;https://issues.apache.org/jira/browse/HADOOP-814;12/12/2006 05:07;https://github.com/apache/hadoop/commit/0bb2d52689729724d6d4e16c345d8711c55eb7c7;all;;;
1096;b75990951c9ec684f6788544cb1393542b7b8458;HeartBeat;0.01691152173913045;;;https://issues.apache.org/jira/browse/HADOOP-1462;05/06/2007 15:15;https://github.com/apache/hadoop/commit/b75990951c9ec684f6788544cb1393542b7b8458;all;;;
4035;bd92322d22be4a00f1a6fbd4fe45660a920eca6d;LoadBalancing;0.016892350000000007;;;https://issues.apache.org/jira/browse/HADOOP-6367;10/11/2009 01:01;https://github.com/apache/hadoop/commit/bd92322d22be4a00f1a6fbd4fe45660a920eca6d;all;;;
3900;8246aa28ff72e3ae81eb6ce59852abd5828fadc6;PingEcho;0.01608854066985646;Executive;New binary file format;https://issues.apache.org/jira/browse/HADOOP-3315;25/04/2008 21:27;https://github.com/apache/hadoop/commit/8246aa28ff72e3ae81eb6ce59852abd5828fadc6;Mike;Stern;Yes;
9833;58f40d3bf4b136fc7cbab3614a668ebb8b10f44b;Pooling;0.0159537660549961;;;https://issues.apache.org/jira/browse/MAPREDUCE-5531;14/08/2013 00:21;https://github.com/apache/hadoop/commit/58f40d3bf4b136fc7cbab3614a668ebb8b10f44b;Mike;Stern;No;Not architectural
2028;aa576da58bfc118779651e904490b0c50f04e1c4;LoadBalancing;0.015898620689655182;Property;Reduce cpu usage;https://issues.apache.org/jira/browse/HADOOP-2758;31/01/2008 21:24;https://github.com/apache/hadoop/commit/aa576da58bfc118779651e904490b0c50f04e1c4;Mike;Stern;Yes;
3878;c967cef4d3b82bf05f09ff03ff50243e0a81db26;Pooling;0.015849356725146202;Existence;Refactor of subsystem;https://issues.apache.org/jira/browse/MAPREDUCE-231;19/11/2008 18:48;https://github.com/apache/hadoop/commit/c967cef4d3b82bf05f09ff03ff50243e0a81db26;Mike;Stern;Yes;
3896;cfb96367814acb7f815498559a79836dfce14328;Pooling;0.015849356725146202;Duplicate;;https://issues.apache.org/jira/browse/MAPREDUCE-231;19/11/2008 18:48;https://github.com/apache/hadoop/commit/cfb96367814acb7f815498559a79836dfce14328;Mike;Stern;Yes;
24;d02d3cdb2d3809e42283436bf714d7516e475611;HeartBeat;0.01418887499999999;;;https://issues.apache.org/jira/browse/HADOOP-25;07/02/2006 08:15;https://github.com/apache/hadoop/commit/d02d3cdb2d3809e42283436bf714d7516e475611;Mike;Stern;Yes;
9767;7a2443e9f8b95816c7df61530cda29e8b040b12e;Pooling;0.014108250393665533;Property;Support retry, Quality attribute availability;https://issues.apache.org/jira/browse/HDFS-5122;21/08/2013 22:49;https://github.com/apache/hadoop/commit/7a2443e9f8b95816c7df61530cda29e8b040b12e;Mike;Stern;Yes;
25981;05145404d54c6c3cc65833d317977ba12599514d;Scheduler;0.014107288380282912;;;https://issues.apache.org/jira/browse/HDFS-14339;     06/Mar/19 12:08 ;https://github.com/apache/hadoop/commit/05145404d54c6c3cc65833d317977ba12599514d;Mike;Stern;Yes;
9802;10a4289ebfe8a079562f2006a0e28acdbd8aa0c5;Pooling;0.013976113480687863;;;https://issues.apache.org/jira/browse/YARN-1229;23/09/2013 20:39;https://github.com/apache/hadoop/commit/10a4289ebfe8a079562f2006a0e28acdbd8aa0c5;Mike;Stern;Yes;
9824;cf3d8b228695cfb6d1943460524f86973ace0bf1;Pooling;0.013805288564862933;;;https://issues.apache.org/jira/browse/MAPREDUCE-5513;18/09/2013 14:24;https://github.com/apache/hadoop/commit/cf3d8b228695cfb6d1943460524f86973ace0bf1;Mike;Stern;Yes;
353;13d74368d068a2b14717ffecc9388546c738cb63;Scheduler;0.013711170370370396;Existence;Refactor to new class;https://issues.apache.org/jira/browse/HADOOP-335;30/06/2006 00:30;https://github.com/apache/hadoop/commit/13d74368d068a2b14717ffecc9388546c738cb63;Mike;Stern;Yes;
764;3a7c2b0bd9c9c6d1321f560ab91fa9e744093542;CheckPoint;0.01346724039829307;Existence;Behavioral: prevent disrupting clusters;https://issues.apache.org/jira/browse/HADOOP-442;10/08/2006 07:42;https://github.com/apache/hadoop/commit/3a7c2b0bd9c9c6d1321f560ab91fa9e744093542;Mike;Stern;Yes;
3880;ac670cc47f06b0eb880dcb5522a5aba187b5c67d;Pooling;0.013422706766917258;;;n/a;;https://github.com/apache/hadoop/commit/ac670cc47f06b0eb880dcb5522a5aba187b5c67d;Mike;Stern;Yes;
9750;3e3a454bd29f01c87df55041ff155b024ab5e702;Pooling;0.01334842231842226;;;https://issues.apache.org/jira/browse/HDFS-2832;24/01/2012 18:06;https://github.com/apache/hadoop/commit/3e3a454bd29f01c87df55041ff155b024ab5e702;Mike;Stern;Yes;
3910;aa471150ea99d81102939e17fdbc251bd1218b44;Pooling;0.01309162337662334;;;n/a;;https://github.com/apache/hadoop/commit/aa471150ea99d81102939e17fdbc251bd1218b44;Mike;Stern;Yes;
9742;89c7ee9245ab7841be205119ab8932f0e4a2505e;Pooling;0.01304198265478193;Existence;Add white-list for system users;https://issues.apache.org/jira/browse/YARN-1137;03/09/2013 21:12;https://github.com/apache/hadoop/commit/89c7ee9245ab7841be205119ab8932f0e4a2505e;Mike;Stern;Yes;
2772;de5f5f41c96cc085e84c5ed7968964cb48beeccc;CheckPoint;0.01300510888610762;Existence;Introduced fair scheduler;https://issues.apache.org/jira/browse/HADOOP-3746;11/07/2008 01:46;https://github.com/apache/hadoop/commit/de5f5f41c96cc085e84c5ed7968964cb48beeccc;Mike;Stern;Yes;
9730;f4951e07087c99ab6d57ff5efdd962432ac641ab;Pooling;0.012905892857142803;;;https://issues.apache.org/jira/browse/YARN-1116;28/08/2013 18:23;https://github.com/apache/hadoop/commit/f4951e07087c99ab6d57ff5efdd962432ac641ab;Mike;Stern;No;Not architectural, just a feature
9733;597c57ba2aa77ca407c0e62113381aa67c3d7e18;Pooling;0.012905892857142803;;;https://issues.apache.org/jira/browse/HADOOP-9960;13/09/2013 20:14;https://github.com/apache/hadoop/commit/597c57ba2aa77ca407c0e62113381aa67c3d7e18;Mike;Stern;Maybe?;I do not know if a version bumb is architectural
9784;9f6cf60ae04360ffa9202d0b34ccc29d41faaa3c;Pooling;0.012862515217859971;;;https://issues.apache.org/jira/browse/YARN-1128;30/08/2013 19:31;https://github.com/apache/hadoop/commit/9f6cf60ae04360ffa9202d0b34ccc29d41faaa3c;Mike;Stern;Yes;
9779;d8d3d3eaed15be21187698701f9ef56f2a546ba4;Pooling;0.012850325495391002;Existence;Refactor;https://issues.apache.org/jira/browse/HDFS-5234;19/09/2013 21:59;https://github.com/apache/hadoop/commit/d8d3d3eaed15be21187698701f9ef56f2a546ba4;Mike;Stern;Yes;
5348;ebb6cc60c421286d9121ad907e6d68fa4ee3cf93;Kerbrose;0.012645012156507977;;;https://issues.apache.org/jira/browse/HDFS-2507;     26/Oct/11 18:19 ;https://github.com/apache/hadoop/commit/ebb6cc60c421286d9121ad907e6d68fa4ee3cf93;Mike;Stern;Yes;
68;49601bd8c10b9439796c52dffcc322a56c1bcb33;HeartBeat;0.012519595588235288;;;https://issues.apache.org/jira/browse/HADOOP-16654;01/02/2006 08:25;https://github.com/apache/hadoop/commit/49601bd8c10b9439796c52dffcc322a56c1bcb33;Mike;Stern;Yes;
5353;180646dea33785f8b4cc71482d099595b8c7da9d;Kerbrose;0.012489906022283871;;;https://issues.apache.org/jira/browse/HDFS-2418;     07/Oct/11 22:14 ;https://github.com/apache/hadoop/commit/180646dea33785f8b4cc71482d099595b8c7da9d;Mike;Stern;Yes;
5355;efb2d93f7739c98600378a9c13019fa9d0b0d6a7;Kerbrose;0.012489906022283871;;;https://issues.apache.org/jira/browse/HDFS-2393;30/09/2011 21:04;https://github.com/apache/hadoop/commit/efb2d93f7739c98600378a9c13019fa9d0b0d6a7;Mike;Stern;No;Not architectural, just some code comments
5379;b4992f671d36e35fd874958ffbc9e66abc29a725;Kerbrose;0.012275019563243582;;;https://issues.apache.org/jira/browse/HADOOP-7774;     21/Oct/11 18:17 ;https://github.com/apache/hadoop/commit/b4992f671d36e35fd874958ffbc9e66abc29a725;Mike;Stern;Yes;
9727;06eb46eda3a3b2e29667e3c1335df19fb681609e;Pooling;0.011955418389840183;Property;Allow support;https://issues.apache.org/jira/browse/HDFS-2832;24/01/2012 18:06;https://github.com/apache/hadoop/commit/06eb46eda3a3b2e29667e3c1335df19fb681609e;Mike;Stern;Yes;
4206;69693b6a8625dba4c783c61e9b49cfd722e1a74e;Authenticate;0.011938580357142847;Executive;Test framework;https://issues.apache.org/jira/browse/HADOOP-6332;     25/Oct/09 06:29 ;https://github.com/apache/hadoop/commit/69693b6a8625dba4c783c61e9b49cfd722e1a74e;Mike;Stern;Yes;
1939;056817d1102f027fcd8c6e1a71360b55cda97e02;ActiveRedundancy;0.011878243674772783;;;n/a;;https://github.com/apache/hadoop/commit/056817d1102f027fcd8c6e1a71360b55cda97e02;Mike;Stern;Yes;
9717;a202855af59d2eeb1c4a119bee6d4eb56565a9e9;Pooling;0.01164823247078453;;;https://issues.apache.org/jira/browse/MAPREDUCE-5164;18/04/2013 13:47;https://github.com/apache/hadoop/commit/a202855af59d2eeb1c4a119bee6d4eb56565a9e9;Mike;Stern;Yes;
9725;1260d598d352a00e51b27d44e6c77e73fa18b1a4;Pooling;0.01164823247078453;;;https://issues.apache.org/jira/browse/HDFS-4096;     21/Oct/12 02:04 ;https://github.com/apache/hadoop/commit/1260d598d352a00e51b27d44e6c77e73fa18b1a4;Mike;Stern;Yes;
5407;3ab295994a4e7870a1f68d742d26c3ac44546fa5;Kerbrose;0.01133842974820682;;;https://issues.apache.org/jira/browse/HDFS-2523;01/11/2011 01:21;https://github.com/apache/hadoop/commit/3ab295994a4e7870a1f68d742d26c3ac44546fa5;Mike;Stern;Yes;
168;0794e232d52cd53abc4d450f4feff61298000210;HeartBeat;0.011128529411764704;;;https://issues.apache.org/jira/browse/HADOOP-151;20/04/2006 05:18;https://github.com/apache/hadoop/commit/0794e232d52cd53abc4d450f4feff61298000210;Mike;Stern;Yes;
10450;c552d5d72ee2d6dcd7883671b8fce451fe4c98e2;CheckPoint;0.011108812280678435;;;https://issues.apache.org/jira/browse/HDFS-5685;19/12/2013 01:54;https://github.com/apache/hadoop/commit/c552d5d72ee2d6dcd7883671b8fce451fe4c98e2;Mike;Stern;Yes;
10438;788fca4124ecac818a20bfc2607676849cf0d94f;CheckPoint;0.010949989304812835;Property;Make asyncronous;https://issues.apache.org/jira/browse/HDFS-5496;11/11/2013 19:12;https://github.com/apache/hadoop/commit/788fca4124ecac818a20bfc2607676849cf0d94f;Mike;Stern;Yes;
3877;cab0a4bf543f58600ae8499f5b219a452f89c827;ValidationInterceptor;0.0108329411764706;Existence;Refactor of sybsystem;https://issues.apache.org/jira/browse/MAPREDUCE-231;19/11/2008 18:48;https://github.com/apache/hadoop/commit/cab0a4bf543f58600ae8499f5b219a452f89c827;Mike;Stern;Yes;
9701;1a649aa51a3fe291b21bd2bb45d84fcd1806c521;Pooling;0.010722421744798927;;;https://issues.apache.org/jira/browse/YARN-1152;05/09/2013 22:42;https://github.com/apache/hadoop/commit/1a649aa51a3fe291b21bd2bb45d84fcd1806c521;Mike;Stern;Yes;
307;fb26c9bc9fe4a56a0c83727a67fc12f527533494;HeartBeat;0.010701877470355725;Existence;Refactor;https://issues.apache.org/jira/browse/HADOOP-321;23/06/2006 08:08;https://github.com/apache/hadoop/commit/fb26c9bc9fe4a56a0c83727a67fc12f527533494;Mike;Stern;Yes;
7913;ca1c683b4755958b30af7b6d8dc8c5b9fa55c60b;Scheduler;0.010588437554813507;;;https://issues.apache.org/jira/browse/MAPREDUCE-4266;     17/May/12 19:30 ;https://github.com/apache/hadoop/commit/ca1c683b4755958b30af7b6d8dc8c5b9fa55c60b;Mike;Stern;Yes;
7925;40fe1ffbaa157afc3515bfb7a630dbfeca856f04;Scheduler;0.010588437554813507;;;n/a;;https://github.com/apache/hadoop/commit/40fe1ffbaa157afc3515bfb7a630dbfeca856f04;Mike;Stern;Yes;
3510;cdbded170b95d730154c93e9611ef99b2292eded;Session;0.010419581222559898;;;n/a;;https://github.com/apache/hadoop/commit/cdbded170b95d730154c93e9611ef99b2292eded;Mike;Stern;Yes;
1260;0c2f997d2f15a6b9e962f418b93c04ba7477587b;LoadBalancing;0.01034875942684766;;;https://issues.apache.org/jira/browse/HBASE-369;11/08/2007 23:19;https://github.com/apache/hadoop/commit/0c2f997d2f15a6b9e962f418b93c04ba7477587b;Mike;Stern;Yes;
6132;2a2faac0de8f03797f5365ca596490135845b88e;CheckPoint;0.010336716755684039;Existence;Allow merging;https://issues.apache.org/jira/browse/HADOOP-8048;09/02/2012 17:19;https://github.com/apache/hadoop/commit/2a2faac0de8f03797f5365ca596490135845b88e;Mike;Stern;Yes;
6074;2c91c9d7167f33eea30d6dc76c026ac21c6aee32;CheckPoint;0.010280835567565219;;;https://issues.apache.org/jira/browse/HADOOP-8017;03/02/2012 12:30;https://github.com/apache/hadoop/commit/2c91c9d7167f33eea30d6dc76c026ac21c6aee32;Mike;Stern;Yes;
6087;35f12b955647651940ef43982552e635ec006caf;CheckPoint;0.010280835567565219;;;https://issues.apache.org/jira/browse/MAPREDUCE-3697;19/01/2012 15:04;https://github.com/apache/hadoop/commit/35f12b955647651940ef43982552e635ec006caf;Mike;Stern;Yes;
6092;fb498926becbbf5c281bb9012ae3473ac3af93b0;CheckPoint;0.010280835567565219;;;https://issues.apache.org/jira/browse/MAPREDUCE-3436;19/11/2011 02:29;https://github.com/apache/hadoop/commit/fb498926becbbf5c281bb9012ae3473ac3af93b0;Mike;Stern;Yes;
6109;11db1b855fa08a5ef7cdf2d40bd18ee33eba92ee;CheckPoint;0.010280835567565219;;;https://issues.apache.org/jira/browse/HDFS-2786;12/01/2012 16:05;https://github.com/apache/hadoop/commit/11db1b855fa08a5ef7cdf2d40bd18ee33eba92ee;Mike;Stern;No;Not architectural, just a compat fix
6116;b6ffb08a467f1b5bc89e5114c462c3117b337be6;CheckPoint;0.010280835567565219;Existence;Define interface;https://issues.apache.org/jira/browse/HDFS-2887;03/02/2012 09:58;https://github.com/apache/hadoop/commit/b6ffb08a467f1b5bc89e5114c462c3117b337be6;Mike;Stern;Yes;
6121;7f7b05226e3ae1fdf3c440f8d26814f4d955f734;CheckPoint;0.010280835567565219;;;https://issues.apache.org/jira/browse/HADOOP-8042;10/01/2012 22:09;https://github.com/apache/hadoop/commit/7f7b05226e3ae1fdf3c440f8d26814f4d955f734;Mike;Stern;Yes;
